City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
Revelstoke,Revelstoke Theatre Company Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,9500
Revelstoke,Revelstoke Visual Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20500
Richmond,BC Youth Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,31500
Richmond,Canadian YC Chinese Orchestra Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Richmond,Richmond Cares Richmond Gives Society,Community Gaming Grant,Human and Social Services,Community Education,31200
Richmond,Richmond Community Orchestra and Chorus Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,26000
Richmond,Richmond Gateway Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,84000
Richmond,Richmond Music School Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,45000
Richmond,Richmond Singers,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Richmond,Richmond Swim Club,Community Gaming Grant,Sport,Sports for Youth,37000
Richmond,The 2947 39 (Vancouver) Service Battalion Royal Canadian Army Cadet Corps Sponsoring Committee,Community Gaming Grant,Human and Social Services,Enhancement of Youth,7300
Richmond,Vancouver Orpheus Male Voice Choir,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Roberts Creek,Coast Rogue Arts Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",5500
Rock Creek,Rock Creek and Boundary Fair Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",33500
Rolla,Peace - Liard Regional Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3900
Saanichton,Central Saanich Little League,Community Gaming Grant,Sport,Sports for Youth,17250
Saanichton,Peninsula Lacrosse Association,Community Gaming Grant,Sport,Sports for Youth,17000
Saanichton,Saanich Peninsula Piranhas Summer Swim Club,Community Gaming Grant,Sport,Sports for Youth,26600
Salmo,Salmo Valley Swimming Pool Society,Community Gaming Grant,Sport,Sports for Youth,8000
Salmon Arm,Salmon Arm Folk Music Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",40000
Salmon Arm,Salmon Arm Museum and Heritage Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",34500
Salmon Arm,Shuswap Association of  Writers,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",4000
Salmon Arm,Shuswap District Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,27200
Salmon Arm,The Salmon Arm and Shuswap Lake Agricultural Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",17250
Salt Spring,Viva Chorale! Society - Salt Spring Island,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,12400
Salt Spring Island,Bandemonium Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6500
Salt Spring Island,Graffiti Theatre Company Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,21000
Salt Spring Island,Saltspring Gymnastics Association,Community Gaming Grant,Sport,Sports for Youth,6700
Salt Spring Island,Stagecoach School for the Performing Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,10000
Sechelt,Coasting Along Theatre Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11000
Sidney,78th Fraser Highlanders - Fort Victoria Historical Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8800
Sidney,Peninsula Baseball & Softball Association,Community Gaming Grant,Sport,Sports for Youth,21500
Sidney,Sidney Concert Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,6000
Sidney,Sidney Lawn Bowling Club,Community Gaming Grant,Sport,Sports - Adult,8900
Skidegate,Haida Gwaii Museum Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25000
Smithers,Bulkley Valley Agricultural and Industrial Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",35000
Smithers,Bulkley Valley Concert Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Smithers,Bulkley Valley Folk  Music Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",22000
Smithers,Smithers Ski Club,Community Gaming Grant,Sport,Sports for Youth,22225
Sooke,Sooke Community Choir Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,4500
Squamish,West Coast Railway Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,37000
Summerland,Apex Ski Club,Community Gaming Grant,Sport,Sports for Youth,17700
Summerland,Kiwanis Club of Summerland,Community Gaming Grant,Human and Social Services,Community Service Organization,3750
Summerland,Penticton Scottish Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",5000
Summerland,Ryga Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",3000
Summerland,South Okanagan Sailing Association,Community Gaming Grant,Sport,Sports for Youth,6000
Summerland,Summerland Action Festival Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",10000
Summerland,Summerland Community Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,22500
Summerland,Summerland Museum & Heritage Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",15000
Surrey,African Stages Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,15000
Surrey,AllStar Youth Sport Society,Community Gaming Grant,Sport,Sports for Youth,13500
Surrey,Arts Council of Surrey,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,20000
Surrey,"BC Junior ""A"" Lacrosse League Association",Community Gaming Grant,Sport,Sports for Youth,56000
Surrey,Cedar Hills Caledonian Pipe Band,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Surrey,Cloverdale Curling Club,Community Gaming Grant,Sport,Sports - Adult,46230
Surrey,"Global Peace Alliance, Surrey Society",Community Gaming Grant,Arts and Culture,Youth Arts and Culture,13000
Surrey,Handel Society of Music,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Surrey,Lower Fraser Valley Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",55000
Surrey,Lyric Choirs of Surrey Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6550
Surrey,Newton Canadian Baseball Association,Community Gaming Grant,Sport,Sports for Youth,15000
Surrey,Nicomekl Rowing Club,Community Gaming Grant,Sport,Sports - Adult,11625
Surrey,North Surrey Minor Football Club,Community Gaming Grant,Sport,Sports for Youth,44000
Surrey,Pacificaires Performing Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,45000
Surrey,Peace Arch Chorus Sweet Adelines,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6000
Surrey,Scouts Canada - 11th Central Surrey,Community Gaming Grant,Human and Social Services,Enhancement of Youth,4200
Surrey,Seaside Volleyball Club,Community Gaming Grant,Sport,Sports for Youth,20480
Surrey,Simon Fraser University Pipe Band Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,35500
Surrey,Surrey Canadian Baseball Association,Community Gaming Grant,Sport,Sports - Adult,18000
Surrey,Surrey Festival of Dance Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,30000
Surrey,Surrey Japanese School Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,2000
Surrey,Surrey Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,100000
Surrey,Surrey Symphony Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,25850
Surrey,Teatr Polski - Polish Theatre Canadian-Polish Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,35000
Surrey,Vancouver Cantonese Opera,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,31000
